     col           wave        flux         sky   synth_sky         snr        flat  trace_upper  trace_lower  trace_mean   trace_fit     fit_res  
  pixels      Angstroms      counts      counts                                            pixel       pixels      pixels      pixels      pixels  
      57   1.582598e+04   1.096e+03   4.425e+00   1.258e-01   4.710e+01   1.104e+00    3.119e+02    2.515e+02   2.817e+02   2.817e+02   1.519e-03  
      58   1.582619e+04   1.048e+03   6.488e+00   1.258e-01   4.394e+01   1.070e+00    3.119e+02    2.515e+02   2.817e+02   2.817e+02   1.147e-02  
      59   1.582641e+04   1.029e+03   6.565e+00   1.258e-01   4.417e+01   1.098e+00    3.118e+02    2.516e+02   2.817e+02   2.817e+02   2.000e-02  
      60   1.582663e+04   1.083e+03   3.353e+00   1.258e-01   4.569e+01   1.081e+00    3.120e+02    2.515e+02   2.817e+02   2.817e+02  -1.129e-02  
      61   1.582684e+04   9.984e+02   3.648e+00   1.258e-01   4.331e+01   1.101e+00    3.119e+02    2.515e+02   2.817e+02   2.817e+02   2.102e-02  
      62   1.582706e+04   8.924e+02   4.659e+00   1.258e-01   3.863e+01   1.079e+00    3.118e+02    2.515e+02   2.816e+02   2.817e+02   1.118e-01  
      63   1.582728e+04   9.378e+02   3.427e+00   1.258e-01   4.138e+01   1.105e+00    3.119e+02    2.516e+02   2.817e+02   2.818e+02   1.915e-02  
      64   1.582749e+04   9.721e+02   4.038e+00   1.258e-01   4.130e+01   1.067e+00    3.120e+02    2.515e+02   2.818e+02   2.818e+02   1.391e-02  
      65   1.582771e+04   1.036e+03   6.593e+00   1.258e-01   4.433e+01   1.093e+00    3.120e+02    2.513e+02   2.817e+02   2.818e+02   1.187e-01  
      66   1.582793e+04   1.108e+03   4.650e+00   1.258e-01   4.572e+01   1.056e+00    3.120e+02    2.516e+02   2.818e+02   2.818e+02   4.652e-03  
      67   1.582815e+04   1.162e+03   4.837e+00   1.258e-01   4.915e+01   1.095e+00    3.120e+02    2.515e+02   2.818e+02   2.818e+02   4.268e-02  
      68   1.582836e+04   1.097e+03   5.576e+00   1.258e-01   4.551e+01   1.069e+00    3.120e+02    2.516e+02   2.818e+02   2.818e+02  -1.355e-02  
      69   1.582858e+04   1.085e+03   5.443e+00   1.258e-01   4.619e+01   1.096e+00    3.119e+02    2.516e+02   2.817e+02   2.818e+02   9.332e-02  
      70   1.582880e+04   1.063e+03   5.946e+00   1.258e-01   4.507e+01   1.093e+00    3.120e+02    2.516e+02   2.818e+02   2.818e+02   2.710e-02  
      71   1.582901e+04   1.116e+03   6.360e+00   1.258e-01   4.776e+01   1.109e+00    3.120e+02    2.517e+02   2.819e+02   2.819e+02  -7.335e-04  
      72   1.582923e+04   1.138e+03   5.742e+00   1.258e-01   4.796e+01   1.093e+00    3.122e+02    2.517e+02   2.820e+02   2.819e+02  -8.197e-02  
      73   1.582945e+04   1.055e+03   1.072e+01   1.258e-01   4.507e+01   1.115e+00    3.120e+02    2.517e+02   2.818e+02   2.819e+02   6.864e-02  
      74   1.582967e+04   1.025e+03   3.667e+01   1.258e-01   4.159e+01   1.107e+00    3.119e+02    2.518e+02   2.819e+02   2.819e+02   4.093e-02  
      75   1.582988e+04   1.016e+03   6.965e+01   1.258e-01   3.954e+01   1.127e+00    3.121e+02    2.517e+02   2.819e+02   2.819e+02   3.888e-02  
      76   1.583010e+04   1.034e+03   8.767e+01   1.258e-01   3.834e+01   1.098e+00    3.121e+02    2.517e+02   2.819e+02   2.819e+02   3.113e-02  
      77   1.583032e+04   1.115e+03   9.460e+01   1.258e-01   4.126e+01   1.112e+00    3.119e+02    2.517e+02   2.818e+02   2.819e+02   1.636e-01  
      78   1.583054e+04   1.083e+03   9.743e+01   1.258e-01   3.901e+01   1.082e+00    3.119e+02    2.518e+02   2.819e+02   2.820e+02   8.063e-02  
      79   1.583075e+04   1.099e+03   9.463e+01   1.258e-01   4.026e+01   1.103e+00    3.121e+02    2.518e+02   2.819e+02   2.820e+02   2.086e-02  
      80   1.583097e+04   1.083e+03   7.137e+01   1.258e-01   4.072e+01   1.087e+00    3.120e+02    2.518e+02   2.819e+02   2.820e+02   8.652e-02  
      81   1.583119e+04   1.045e+03   3.627e+01   1.258e-01   4.265e+01   1.109e+00    3.120e+02    2.518e+02   2.819e+02   2.820e+02   1.030e-01  
      82   1.583140e+04   1.135e+03   1.115e+01   1.258e-01   4.700e+01   1.086e+00    3.120e+02    2.518e+02   2.819e+02   2.820e+02   9.112e-02  
      83   1.583162e+04   1.056e+03   5.354e+00   1.258e-01   4.573e+01   1.112e+00    3.121e+02    2.518e+02   2.819e+02   2.820e+02   8.041e-02  
      84   1.583184e+04   1.059e+03   6.742e+00   1.258e-01   4.470e+01   1.085e+00    3.121e+02    2.517e+02   2.819e+02   2.820e+02   1.572e-01  
      85   1.583206e+04   1.133e+03   5.290e+00   1.258e-01   4.856e+01   1.117e+00    3.120e+02    2.519e+02   2.819e+02   2.820e+02   1.293e-01  
      86   1.583227e+04   1.147e+03   7.990e+00   1.258e-01   4.834e+01   1.104e+00    3.119e+02    2.519e+02   2.819e+02   2.821e+02   1.705e-01  
      87   1.583249e+04   1.142e+03   1.388e+01   1.258e-01   4.814e+01   1.112e+00    3.120e+02    2.518e+02   2.819e+02   2.821e+02   1.260e-01  
      88   1.583271e+04   1.029e+03   1.352e+02   1.258e-01   3.572e+01   1.102e+00    3.125e+02    2.517e+02   2.821e+02   2.821e+02  -3.916e-02  
      89   1.583293e+04   1.149e+03   5.524e+02   1.258e-01   2.777e+01   1.125e+00    3.120e+02    2.520e+02   2.820e+02   2.821e+02   9.136e-02  
      90   1.583314e+04   1.315e+03   1.083e+03   1.258e-01   2.410e+01   1.106e+00    3.124e+02    2.521e+02   2.822e+02   2.821e+02  -1.196e-01  
      91   1.583336e+04   1.186e+03   1.333e+03   1.258e-01   2.029e+01   1.117e+00    3.120e+02    2.520e+02   2.820e+02   2.821e+02   1.245e-01  
      92   1.583358e+04   9.261e+02   1.093e+03   1.258e-01   1.706e+01   1.101e+00    3.120e+02    2.520e+02   2.820e+02   2.821e+02   1.379e-01  
      93   1.583380e+04   9.296e+02   5.503e+02   1.258e-01   2.276e+01   1.124e+00    3.121e+02    2.520e+02   2.820e+02   2.821e+02   1.170e-01  
      94   1.583401e+04   9.901e+02   1.521e+02   1.262e-01   3.383e+01   1.105e+00    3.121e+02    2.521e+02   2.821e+02   2.822e+02   8.572e-02  
      95   1.583423e+04   1.141e+03   2.793e+01   2.236e-01   4.706e+01   1.119e+00    3.120e+02    2.522e+02   2.821e+02   2.822e+02   7.093e-02  
      96   1.583445e+04   1.151e+03   1.114e+01   6.821e+00   4.811e+01   1.104e+00    3.120e+02    2.522e+02   2.821e+02   2.822e+02   7.263e-02  
      97   1.583467e+04   1.090e+03   9.476e+00   1.296e+02   4.736e+01   1.133e+00    3.120e+02    2.522e+02   2.821e+02   2.822e+02   1.081e-01  
      98   1.583488e+04   1.105e+03   4.398e+00   7.075e+02   4.702e+01   1.100e+00    3.121e+02    2.521e+02   2.821e+02   2.822e+02   1.235e-01  
      99   1.583510e+04   1.105e+03   6.198e+00   1.093e+03   4.767e+01   1.119e+00    3.120e+02    2.523e+02   2.821e+02   2.822e+02   1.115e-01  
     100   1.583532e+04   1.065e+03   7.833e+00   4.776e+02   4.516e+01   1.095e+00    3.121e+02    2.522e+02   2.822e+02   2.822e+02   8.366e-02  
     101   1.583554e+04   1.115e+03   3.113e+00   5.911e+01   4.855e+01   1.123e+00    3.120e+02    2.522e+02   2.821e+02   2.823e+02   1.772e-01  
     102   1.583576e+04   1.124e+03   4.097e+00   2.185e+00   4.805e+01   1.109e+00    3.120e+02    2.523e+02   2.822e+02   2.823e+02   9.044e-02  
     103   1.583597e+04   1.116e+03   7.394e+00   1.461e-01   4.841e+01   1.134e+00    3.119e+02    2.521e+02   2.820e+02   2.823e+02   2.975e-01  
     104   1.583619e+04   1.134e+03   6.962e+00   1.259e-01   4.837e+01   1.110e+00    3.119e+02    2.523e+02   2.821e+02   2.823e+02   1.655e-01  
     105   1.583641e+04   1.149e+03   4.777e+00   1.258e-01   4.955e+01   1.125e+00    3.120e+02    2.521e+02   2.821e+02   2.823e+02   2.399e-01  
     106   1.583663e+04   1.102e+03   6.963e+00   1.258e-01   4.712e+01   1.113e+00    3.120e+02    2.524e+02   2.822e+02   2.823e+02   1.474e-01  
     107   1.583684e+04   1.097e+03   6.585e+00   1.290e-01   4.782e+01   1.132e+00    3.121e+02    2.522e+02   2.822e+02   2.823e+02   1.489e-01  
     108   1.583706e+04   1.050e+03   8.005e+00   9.381e-01   4.561e+01   1.124e+00    3.128e+02    2.523e+02   2.825e+02   2.823e+02  -2.004e-01  
     109   1.583728e+04   1.116e+03   4.701e+00   5.796e+01   4.845e+01   1.124e+00    3.124e+02    2.524e+02   2.824e+02   2.824e+02  -5.278e-02  
     110   1.583750e+04   1.071e+03   3.711e+00   1.154e+03   4.659e+01   1.116e+00    3.123e+02    2.523e+02   2.823e+02   2.824e+02   5.067e-02  
     111   1.583771e+04   9.874e+02   5.316e+00   6.457e+03   4.380e+01   1.127e+00    3.121e+02    2.525e+02   2.823e+02   2.824e+02   1.215e-01  
     112   1.583793e+04   8.876e+02   5.347e+00   1.013e+04   3.924e+01   1.109e+00    3.125e+02    2.524e+02   2.825e+02   2.824e+02  -6.305e-02  
     113   1.583815e+04   8.452e+02   6.369e+00   4.452e+03   3.808e+01   1.130e+00    3.120e+02    2.526e+02   2.823e+02   2.824e+02   9.987e-02  
     114   1.583837e+04   8.579e+02   6.783e+00   5.489e+02   3.838e+01   1.119e+00    3.121e+02    2.525e+02   2.823e+02   2.824e+02   1.500e-01  
     115   1.583859e+04   9.514e+02   8.259e+00   1.909e+01   4.189e+01   1.119e+00    3.121e+02    2.525e+02   2.823e+02   2.824e+02   1.167e-01  
     116   1.583880e+04   1.039e+03   6.389e+00   3.095e-01   4.444e+01   1.103e+00    3.120e+02    2.525e+02   2.823e+02   2.825e+02   1.939e-01  
     117   1.583902e+04   1.030e+03   4.358e+00   1.263e-01   4.585e+01   1.139e+00    3.120e+02    2.524e+02   2.822e+02   2.825e+02   2.313e-01  
     118   1.583924e+04   9.631e+02   4.962e+00   1.258e-01   4.241e+01   1.118e+00    3.120e+02    2.525e+02   2.823e+02   2.825e+02   2.249e-01  
     119   1.583946e+04   8.885e+02   3.627e+00   1.258e-01   4.032e+01   1.136e+00    3.123e+02    2.524e+02   2.823e+02   2.825e+02   1.469e-01  
     120   1.583968e+04   8.912e+02   5.973e-01   1.258e-01   4.042e+01   1.130e+00    3.120e+02    2.525e+02   2.822e+02   2.825e+02   2.703e-01  
     121   1.583989e+04   9.141e+02   2.746e+00   1.258e-01   4.185e+01   1.153e+00    3.119e+02    2.525e+02   2.822e+02   2.825e+02   3.033e-01  
     122   1.584011e+04   8.719e+02   4.810e+00   1.258e-01   3.956e+01   1.131e+00    3.131e+02    2.524e+02   2.828e+02   2.825e+02  -2.244e-01  
     123   1.584033e+04   1.021e+03   5.709e+00   1.258e-01   4.412e+01   1.115e+00    3.125e+02    2.527e+02   2.826e+02   2.825e+02  -8.361e-02  
     124   1.584055e+04   1.050e+03   5.181e+00   1.258e-01   4.639e+01   1.141e+00    3.128e+02    2.526e+02   2.827e+02   2.826e+02  -1.189e-01  
     125   1.584077e+04   1.081e+03   3.698e+00   1.258e-01   4.823e+01   1.154e+00    3.126e+02    2.526e+02   2.826e+02   2.826e+02  -2.232e-02  
     126   1.584098e+04   1.093e+03   4.329e+00   1.258e-01   4.772e+01   1.132e+00    3.127e+02    2.528e+02   2.827e+02   2.826e+02  -1.559e-01  
     127   1.584120e+04   1.089e+03   5.411e+00   1.258e-01   4.821e+01   1.149e+00    3.127e+02    2.526e+02   2.827e+02   2.826e+02  -6.809e-02  
     128   1.584142e+04   1.061e+03   5.210e+00   1.258e-01   4.626e+01   1.121e+00    3.129e+02    2.526e+02   2.827e+02   2.826e+02  -1.092e-01  
     129   1.584164e+04   1.093e+03   1.344e+01   1.258e-01   4.716e+01   1.137e+00    3.129e+02    2.527e+02   2.828e+02   2.826e+02  -1.993e-01  
     130   1.584186e+04   1.018e+03   2.376e+01   1.258e-01   4.294e+01   1.118e+00    3.126e+02    2.528e+02   2.827e+02   2.826e+02  -6.575e-02  
     131   1.584207e+04   1.009e+03   2.833e+01   1.258e-01   4.297e+01   1.141e+00    3.129e+02    2.525e+02   2.827e+02   2.826e+02  -7.439e-02  
     132   1.584229e+04   9.532e+02   2.383e+01   1.258e-01   4.065e+01   1.125e+00    3.128e+02    2.527e+02   2.827e+02   2.827e+02  -7.336e-02  
     133   1.584251e+04   9.969e+02   1.357e+01   1.258e-01   4.377e+01   1.145e+00    3.126e+02    2.528e+02   2.827e+02   2.827e+02  -5.277e-02  
     134   1.584273e+04   1.018e+03   1.499e+01   1.258e-01   4.410e+01   1.133e+00    3.129e+02    2.527e+02   2.828e+02   2.827e+02  -1.120e-01  
     135   1.584295e+04   1.123e+03   2.049e+01   1.258e-01   4.814e+01   1.149e+00    3.127e+02    2.530e+02   2.828e+02   2.827e+02  -1.174e-01  
     136   1.584317e+04   1.104e+03   2.916e+01   1.258e-01   4.560e+01   1.126e+00    3.127e+02    2.528e+02   2.827e+02   2.827e+02  -2.965e-02  
     137   1.584338e+04   1.140e+03   2.748e+01   1.258e-01   4.817e+01   1.157e+00    3.128e+02    2.529e+02   2.829e+02   2.827e+02  -1.391e-01  
     138   1.584360e+04   1.095e+03   1.534e+01   1.258e-01   4.691e+01   1.136e+00    3.129e+02    2.528e+02   2.829e+02   2.827e+02  -1.387e-01  
     139   1.584382e+04   1.147e+03   8.651e+00   1.258e-01   5.075e+01   1.159e+00    3.128e+02    2.530e+02   2.829e+02   2.828e+02  -1.449e-01  
     140   1.584404e+04   1.093e+03   5.581e+00   1.258e-01   4.693e+01   1.115e+00    3.128e+02    2.530e+02   2.829e+02   2.828e+02  -1.074e-01  
     141   1.584426e+04   1.172e+03   4.103e+00   1.258e-01   5.124e+01   1.146e+00    3.132e+02    2.529e+02   2.830e+02   2.828e+02  -2.311e-01  
     142   1.584448e+04   1.064e+03   6.903e+00   1.258e-01   4.655e+01   1.134e+00    3.129e+02    2.529e+02   2.829e+02   2.828e+02  -9.496e-02  
     143   1.584469e+04   1.082e+03   7.528e+00   1.258e-01   4.798e+01   1.155e+00    3.128e+02    2.532e+02   2.830e+02   2.828e+02  -1.784e-01  
